,name,points,url,Достоверность маркировки,Антибиотики,Микробиология,Безопасность,Качество,Фальсификация,Органолептика,Содержание потенциально опасных веществ,Микробиологическая безопасность,Маркировка,Потребительские свойства,Потенциально вредные вещества,Пестициды нормируемые,Пестициды,Экокритерии,Антибиотики и токсичные элементы,Физико-химические показатели,Показатели качества,Введение потребителя в заблуждение,Достоверность информации,Органолептические и физико-химические показатели,Органолептические показатели,Консерванты,Витамины,Пищевая ценность,Минеральные вещества,Синтетические красители,Подсластители,Красители
69,Каждый день,5.0,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/kefir/,5.0,,5.0,5.0,5.0,,,5.0,,,,,,,,,,,,,,,,,,,,,
70,Лента,5.0,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/kefir/,5.0,,5.0,5.0,5.0,,,5.0,,,,,,,,,,,,,,,,,,,,,
71,Молочная благодать,5.0,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/kefir/,5.0,,5.0,5.0,5.0,,,5.0,,,,,5.0,,,,,,,,,,,,,,,,
72,Нежеголь,5.0,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/kefir/,5.0,,5.0,5.0,5.0,,,5.0,,,,,5.0,,,,,,,,,,,,,,,,
73,Останкинское 1955,5.0,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/kefir/,5.0,,5.0,5.0,5.0,,,5.0,,,,,5.0,,,,,,,,,,,,,,,,
74,Простоквашино,5.0,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/kefir/,5.0,,5.0,5.0,5.0,,,5.0,,,,,,,,,,,,,,,,,,,,,
75,Простоквашино,5.0,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/kefir/,5.0,,5.0,5.0,0.0,,,5.0,,,,,5.0,,,,,,,,,,,,,,,,
76,Рузский,5.0,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/kefir/,5.0,,5.0,5.0,5.0,,,5.0,,,,,5.0,,,,,,,,,,,,,,,,
77,Свитлогорье,5.0,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/kefir/,5.0,,5.0,5.0,5.0,,,5.0,,,,,5.0,,,,,,,,,,,,,,,,
78,Томмолоко,5.0,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/kefir/,5.0,,5.0,5.0,5.0,,,5.0,,,,,5.0,,,,,,,,,,,,,,,,
